quarter_text,nuevas,reinversion,entre_cias,inversion,exportaciones,estado,cuenta,horas_prom,ittae,salario,medsup,hom_pc,rob_pc,secext_pc,_menos1sm
2008-3,19.773521,0.43186599,3.7571139,23.962502,128.439,Sinaloa,3,41.599998,89.473564,176.50333,0.22962768,0.17016234,1.0636041,0.004298838,0.098000005
2008-3,59.10881,-0.318225,178.66725,237.45784,3040.3191,Sonora,1,43.400002,85.286797,193.33,0.23522967,0.097793098,1.0150772,0.004169473,0.056999996
2008-3,27.051298,-8.5218983,-4.097013,14.432388,2895.1531,Tabasco,0,45.299999,85.82621,199.42667,0.23708153,0.06029788,1.3755171,0.020401538,0.145
2008-3,133.20491,-5.5683198,157.56308,285.19968,6386.5288,Tamaulipas,2,42.799999,101.78094,211.73,0.25563896,0.065311775,1.821336,0.006777637,0.098000005
2008-3,37.588547,-1.133306,-3.3574009,33.097839,247.004,Tlaxcala,2,41,95.246651,192.49667,0.20439652,0.089412439,0.47657697,0,0.168
2008-3,74.955521,-9.0497913,-34.175758,31.729971,1521.788,Veracruz,1,45,88.873283,226.61667,0.18208115,0.036804282,0.49349398,0.008970219,0.15100001
2008-3,17.065105,-0.17535201,7.1945348,24.08429,294.66299,Yucatán,6,41.200001,88.683571,180.74333,0.17618799,0.039908842,1.0853132,0,0.192
2008-3,1196.8203,,95.953323,1292.7042,626.44202,Zacatecas,1,41.599998,90.260788,179.57333,0.1384279,0.033142955,1.0017288,0.005411094,0.11300001
2008-4,7.612082,1.365935,45.341434,54.319454,1027.868,Aguascalientes,8,45.799999,87.822655,204.91667,0.25590551,0.050758801,1.8273168,0.01290478,0.056999996
2008-4,421.35809,16.072906,-190.2581,247.17288,8020.0542,Baja California,17,43.900002,94.764793,235.13333,0.24861558,0.12268817,5.3085,0.037062051,0.039999999
2008-4,100.18234,0.84100503,21.467588,122.49094,40.875,Baja California Sur,0,42,90.616692,218.03,0.3065263,0.044018965,3.2345788,0.055431286,0.053000003
2008-4,1.004324,0.32485399,13.003549,14.332727,4404.2158,Campeche,0,44.099998,93.683792,252.46333,0.23139332,0.042940832,0.16072141,0,0.168
2008-4,4.722424,-4.8622441,11.355358,11.215538,141.53,Chiapas,2,42.099998,95.665649,186.11333,0.16427311,0.047805028,0.31334214,0.002713823,0.324
2008-4,147.18427,1.663343,757.79547,906.64307,6011.5972,Chihuahua,5,43.299999,95.623238,214.97333,0.21617636,0.21519528,2.934244,0.027514874,0.040999997
2008-4,2345.8467,16.468384,20.204348,2382.5193,655.46899,Ciudad de México,70,44.099998,95.10865,303.52332,0.37188318,0.04315652,2.7852124,0.032227996,0.078000002
2008-4,141.63445,2.7140701,37.207016,181.55554,5272.9888,Coahuila,8,42.700001,90.981697,213.67667,0.22647902,0.042659809,1.6692489,0,0.086000003
2008-4,24.706669,0.93705201,4.3412371,29.984957,22.285999,Colima,0,43.099998,85.963737,195.06334,0.23989937,0.026728971,0.77199558,0,0.085000001
2008-4,1.470673,0.062950999,172.95274,174.48637,253.412,Durango,4,43.200001,90.133064,171.56667,0.20163657,0.14906662,1.1693176,0.015273219,0.096999995
2008-4,99.962128,60.895802,49.074429,209.93236,2344.001,Estado de México,42,45.400002,87.74279,229.27333,0.22198449,0.033344422,1.715224,0,0.094999999
2008-4,66.439758,-28.307182,53.658325,91.790894,1583.379,Guanajuato,8,41.799999,84.997856,188,0.15218267,0.0523526,1.5151135,0.014827135,0.13
2008-4,15.423342,1.886399,4.3283582,21.638098,45.528,Guerrero,14,44.400002,96.899246,194.24333,0.19694148,0.12905423,0.54627063,0.00471431,0.14
2008-4,1.87292,1.595337,13.70806,17.176317,374.22501,Hidalgo,5,41.400002,90.209831,194.82001,0.1649189,0.045389599,1.1129987,0.032039716,0.185
2008-4,68.879372,5.1020899,220.85313,294.83459,3776.9041,Jalisco,41,41.299999,91.135765,222.11,0.21799265,0.042019983,0.73968951,0.022181041,0.079000004
2008-4,16.075815,2.1129949,21.73068,39.919491,197.526,Michoacán,16,39.900002,94.143623,194.14999,0.15579548,0.13280948,1.0434046,0.019071258,0.12800001
2008-4,4.8499751,2.3524971,21.333321,28.535793,443.66599,Morelos,6,43.799999,92.999016,218.17334,0.22494529,0.083934152,1.817061,0.024386274,0.088999994
2008-4,22.492533,0.043145001,32.613514,55.149193,8.4139996,Nayarit,1,41.299999,96.536278,180.52,0.2259503,0.076780896,0.49252133,0,0.131
2008-4,351.18607,4.2169261,112.7883,468.19128,4885.2061,Nuevo León,14,44.299999,90.148491,258.95667,0.2142777,0.041114057,2.1729539,0.00369809,0.063000001
2008-4,-0.171194,-2.322531,9.8016701,7.3079448,315.20001,Oaxaca,5,42.400002,94.308113,185.21001,0.14512429,0.034056866,0.41994738,0.019910169,0.21600001
2008-4,100.02165,-1.26573,1.589438,100.34536,2264.498,Puebla,12,41.599998,92.769005,210.78999,0.16525781,0.049036571,0.89030934,0,0.186
2008-4,144.84663,-4.3120871,116.56249,257.09705,908.117,Querétaro,6,43.799999,87.578804,255.34334,0.22717474,0.050729359,1.3066991,0.006689586,0.064000003
2008-4,65.547729,2.1365919,-11.631324,56.052998,7.6300001,Quintana Roo,5,44.700001,86.741356,186.03667,0.27150789,0.10480991,2.7532156,0.029722214,0.10399999
2008-4,-16.67481,0.15931,-0.77921599,-17.294718,952.065,San Luis Potosí,18,41.900002,87.104286,209.09332,0.18219876,0.036988138,0.6922622,0.04672186,0.17899999
2008-4,17.774107,0.49935701,12.150077,30.423542,67.915001,Sinaloa,21,41.900002,99.287689,172.27666,0.23460311,0.20821056,1.1553365,0.006428457,0.086000003
2008-4,10.274525,11.549026,318.06311,339.88666,2645.9939,Sonora,4,43.599998,84.723701,191.78,0.25164202,0.093957693,1.0674952,0.002641381,0.059999999
2008-4,39.780632,-5.6605558,13.963809,48.083885,1399.068,Tabasco,12,44.599998,89.977654,200.11665,0.24385113,0.069599992,1.581818,0.02485714,0.132
2008-4,114.12499,1.34788,141.03026,256.50314,5121.3511,Tamaulipas,5,42.299999,100.29173,212.89667,0.2548362,0.073946205,1.6630226,0.006443445,0.112
2008-4,15.370733,-0.104735,11.687826,26.953823,179.189,Tlaxcala,0,41.599998,103.82742,191.54666,0.20293374,0.060509927,0.44431575,0,0.17200001
2008-4,161.80328,-2.0944307,133.64023,293.34906,1048.2939,Veracruz,3,44.900002,90.380096,221.58667,0.18855444,0.038951493,0.53268799,0.018028226,0.14399999
2008-4,15.671824,1.965297,7.4924622,25.129583,283.10101,Yucatán,15,40.700001,90.428978,179.38333,0.18372421,0.039765229,0.91976463,0,0.2
2008-4,83.216782,-4.803164,81.039322,159.45294,494.091,Zacatecas,3,40.599998,90.22731,180.64334,0.14350724,0.030342526,0.97096083,0.008765619,0.132
2009-1,317.16797,-1.3923383,-59.525936,256.24969,794.21802,Aguascalientes,3,45.299999,78.38736,214.80333,0.25760868,0.057371413,1.8187594,0.005994028,0.064000003
2009-1,153.3647,15.467605,156.99304,325.82535,5812.647,Baja California,13,43.299999,85.282394,244.28,0.25871927,0.061673432,5.6017912,0.04164546,0.043000001
2009-1,101.3969,1.50287,16.586615,119.48639,37.264,Baja California Sur,0,42.299999,92.018204,226.82333,0.3236177,0.033938461,2.855679,0.024241759,0.055
2009-1,2.1571438,1.119702,-11.137851,-7.8610053,3121.2629,Campeche,0,43.700001,90.516281,268.03665,0.23666352,0.030535768,0.14657169,0,0.16500001
2009-1,1.1511379,12.763288,11.578771,25.493196,160.045,Chiapas,0,42.900002,93.177635,189.70667,0.16938335,0.060513252,0.22916016,0.003951037,0.31799999
