quarter_text,estado,inversion,exportaciones,quarter,cuenta,horas_prom,ittae,salario,medsup,hom_pc,rob_pc,secext_pc,_menos1sm
2008-4,Ciudad de México,2382.5193,655.46899,2008q4,70,44.099998,95.10865,303.52332,0.37188318,0.04315652,2.7852124,0.032227996,0.078000002
2008-4,Coahuila,181.55554,5272.9888,2008q4,8,42.700001,90.981697,213.67667,0.22647902,0.042659809,1.6692489,0,0.086000003
2008-4,Colima,29.984957,22.285999,2008q4,0,43.099998,85.963737,195.06334,0.23989937,0.026728971,0.77199558,0,0.085000001
2008-4,Durango,174.48637,253.412,2008q4,4,43.200001,90.133064,171.56667,0.20163657,0.14906662,1.1693176,0.015273219,0.096999995
2008-4,Estado de México,209.93236,2344.001,2008q4,42,45.400002,87.74279,229.27333,0.22198449,0.033344422,1.715224,0,0.094999999
2008-4,Guanajuato,91.790894,1583.379,2008q4,8,41.799999,84.997856,188,0.15218267,0.0523526,1.5151135,0.014827135,0.13
2008-4,Guerrero,21.638098,45.528,2008q4,14,44.400002,96.899246,194.24333,0.19694148,0.12905423,0.54627063,0.00471431,0.14
2008-4,Hidalgo,17.176317,374.22501,2008q4,5,41.400002,90.209831,194.82001,0.1649189,0.045389599,1.1129987,0.032039716,0.185
2008-4,Jalisco,294.83459,3776.9041,2008q4,41,41.299999,91.135765,222.11,0.21799265,0.042019983,0.73968951,0.022181041,0.079000004
2008-4,Michoacán,39.919491,197.526,2008q4,16,39.900002,94.143623,194.14999,0.15579548,0.13280948,1.0434046,0.019071258,0.12800001
2008-4,Morelos,28.535793,443.66599,2008q4,6,43.799999,92.999016,218.17334,0.22494529,0.083934152,1.817061,0.024386274,0.088999994
2008-4,Nayarit,55.149193,8.4139996,2008q4,1,41.299999,96.536278,180.52,0.2259503,0.076780896,0.49252133,0,0.131
2008-4,Nuevo León,468.19128,4885.2061,2008q4,14,44.299999,90.148491,258.95667,0.2142777,0.041114057,2.1729539,0.00369809,0.063000001
2008-4,Oaxaca,7.3079448,315.20001,2008q4,5,42.400002,94.308113,185.21001,0.14512429,0.034056866,0.41994738,0.019910169,0.21600001
2008-4,Puebla,100.34536,2264.498,2008q4,12,41.599998,92.769005,210.78999,0.16525781,0.049036571,0.89030934,0,0.186
2008-4,Querétaro,257.09705,908.117,2008q4,6,43.799999,87.578804,255.34334,0.22717474,0.050729359,1.3066991,0.006689586,0.064000003
2008-4,Quintana Roo,56.052998,7.6300001,2008q4,5,44.700001,86.741356,186.03667,0.27150789,0.10480991,2.7532156,0.029722214,0.10399999
2008-4,San Luis Potosí,-17.294718,952.065,2008q4,18,41.900002,87.104286,209.09332,0.18219876,0.036988138,0.6922622,0.04672186,0.17899999
2008-4,Sinaloa,30.423542,67.915001,2008q4,21,41.900002,99.287689,172.27666,0.23460311,0.20821056,1.1553365,0.006428457,0.086000003
2008-4,Sonora,339.88666,2645.9939,2008q4,4,43.599998,84.723701,191.78,0.25164202,0.093957693,1.0674952,0.002641381,0.059999999
2008-4,Tabasco,48.083885,1399.068,2008q4,12,44.599998,89.977654,200.11665,0.24385113,0.069599992,1.581818,0.02485714,0.132
2008-4,Tamaulipas,256.50314,5121.3511,2008q4,5,42.299999,100.29173,212.89667,0.2548362,0.073946205,1.6630226,0.006443445,0.112
2008-4,Tlaxcala,26.953823,179.189,2008q4,0,41.599998,103.82742,191.54666,0.20293374,0.060509927,0.44431575,0,0.17200001
2008-4,Veracruz,293.34906,1048.2939,2008q4,3,44.900002,90.380096,221.58667,0.18855444,0.038951493,0.53268799,0.018028226,0.14399999
2008-4,Yucatán,25.129583,283.10101,2008q4,15,40.700001,90.428978,179.38333,0.18372421,0.039765229,0.91976463,0,0.2
2008-4,Zacatecas,159.45294,494.091,2008q4,3,40.599998,90.22731,180.64334,0.14350724,0.030342526,0.97096083,0.008765619,0.132
2009-1,Aguascalientes,256.24969,794.21802,2009q1,3,45.299999,78.38736,214.80333,0.25760868,0.057371413,1.8187594,0.005994028,0.064000003
2009-1,Baja California,325.82535,5812.647,2009q1,13,43.299999,85.282394,244.28,0.25871927,0.061673432,5.6017912,0.04164546,0.043000001
2009-1,Baja California Sur,119.48639,37.264,2009q1,0,42.299999,92.018204,226.82333,0.3236177,0.033938461,2.855679,0.024241759,0.055
2009-1,Campeche,-7.8610053,3121.2629,2009q1,0,43.700001,90.516281,268.03665,0.23666352,0.030535768,0.14657169,0,0.16500001
2009-1,Chiapas,25.493196,160.045,2009q1,0,42.900002,93.177635,189.70667,0.16938335,0.060513252,0.22916016,0.003951037,0.31799999
2009-1,Chihuahua,576.42334,5258.9102,2009q1,9,43.200001,81.488327,222.68666,0.2213662,0.21435243,2.9227517,0.027407108,0.044
2009-1,Ciudad de México,1250.0397,563.55701,2009q1,129,43.700001,82.174332,318.11334,0.37271008,0.03970796,2.7178759,0.027996342,0.063000001
2009-1,Coahuila,164.04477,3176.1831,2009q1,6,42.099998,74.266151,221.02333,0.23851158,0.050563751,1.7444494,0.00183202,0.103
2009-1,Colima,61.074234,17.127001,2009q1,2,42.200001,81.720474,200.67667,0.23810083,0.051592004,1.1350241,0,0.102
2009-1,Durango,25.277679,195.73599,2009q1,1,44.200001,82.644386,180.42667,0.19842221,0.20338483,1.1307953,0.00730724,0.10399999
2009-1,Estado de México,531.21838,1740.505,2009q1,22,45.799999,78.840973,241.25667,0.2402775,0.048508879,1.7448078,0,0.093999997
2009-1,Guanajuato,109.19777,1146.153,2009q1,8,42.599998,78.768578,197.02333,0.15745002,0.0576684,1.5260227,0.018979474,0.132
2009-1,Guerrero,17.647814,75.339996,2009q1,1,44.200001,90.279579,204.07333,0.20112664,0.13313192,0.53546659,0.004408342,0.176
2009-1,Hidalgo,25.255136,294.05801,2009q1,3,41.5,83.78212,202.87,0.16715401,0.039121522,1.0980613,0.026587441,0.199
2009-1,Jalisco,401.17285,3523.5879,2009q1,43,40.900002,83.360832,228.38333,0.21668862,0.042122843,0.6982513,0.017699827,0.094999999
2009-1,Michoacán,38.297287,308.59399,2009q1,2,39.400002,84.094559,200.98666,0.15996715,0.10333968,1.0528732,0.027954415,0.15000001
2009-1,Morelos,133.03046,309.86401,2009q1,3,43.400002,90.957367,227.54333,0.24183959,0.12090389,2.6497161,0.05988697,0.1
2009-1,Nayarit,13.56821,10.299,2009q1,1,41.599998,92.848007,184.71333,0.23722169,0.093083698,0.44121672,0.000930837,0.13699999
2009-1,Nuevo León,695.58447,3895.54,2009q1,16,43.200001,81.101021,269.67334,0.21605948,0.032057142,2.0369282,0.003032432,0.071999997
2009-1,Oaxaca,47.07896,207.01801,2009q1,1,43.400002,93.080315,192.49001,0.15262887,0.081288868,0.84817485,0.040513747,0.22600001
2009-1,Puebla,71.392639,1425.175,2009q1,14,41.200001,82.445854,217.03999,0.17398755,0.058411406,0.97358122,0,0.19399999
2009-1,Querétaro,185.69264,715.12799,2009q1,6,43.200001,82.127663,267.73999,0.23825093,0.028292734,1.2115947,0.008876152,0.086999997
2009-1,Quintana Roo,57.148014,8.9779997,2009q1,0,45.5,88.013924,190.94,0.27958724,0.11555242,2.5095816,0.027918706,0.079000004
2009-1,San Luis Potosí,23.14884,779.01398,2009q1,5,41.200001,80.912956,217.07666,0.17935516,0.055107364,1.5278711,0.041136485,0.19499999
2009-1,Sinaloa,17.55393,53.438,2009q1,1,42.200001,89.983597,176.27667,0.2475376,0.14954501,1.2298296,0.005696953,0.090000004
2009-1,Sonora,326.72125,1645.1071,2009q1,5,43.299999,74.568466,197.68333,0.25792259,0.085650208,0.94553322,0.002629612,0.071999997
2009-1,Tabasco,24.721317,1233.014,2009q1,1,44.599998,82.092819,212.02333,0.2457934,0.066230838,1.4705949,0.03694509,0.15800001
2009-1,Tamaulipas,268.48267,4027.304,2009q1,5,41.900002,91.062477,218.62,0.25868386,0.070295486,1.6189355,0.011002771,0.11
2009-1,Tlaxcala,33.403671,142.94,2009q1,0,41.700001,84.546921,201.59999,0.20923881,0.084357387,0.41920456,0,0.19700001
2009-1,Veracruz,235.26662,907.94202,2009q1,9,44.400002,88.907722,234.51334,0.19388282,0.037280057,0.49724244,0.016671012,0.169
2009-1,Yucatán,9.7923899,210.17599,2009q1,8,40.099998,85.767815,189.44333,0.19283208,0.034475663,0.94164867,0,0.20999999
2009-1,Zacatecas,41.91523,358.66699,2009q1,4,41.299999,78.705971,186.42667,0.14212957,0.045710658,0.78649225,0.002016647,0.13600001
2009-2,Aguascalientes,141.62691,899.57703,2009q2,2,44.400002,80.128525,211.08334,0.25743723,0.046877769,1.6364603,0.014489493,0.068999998
2009-2,Baja California,165.40469,6401.1821,2009q2,4,43.299999,88.258667,242.28667,0.26244837,0.050936214,5.3666523,0.02847366,0.044
2009-2,Baja California Sur,129.75594,39.443001,2009q2,0,41.700001,95.379753,225.49667,0.32417384,0.02883862,2.3487455,0.062483676,0.063000001
2009-2,Campeche,28.169159,4209.6289,2009q2,0,42.099998,89.243423,264.93332,0.24440323,0.03161986,0.13742478,0,0.185
2009-2,Chiapas,28.330519,202.187,2009q2,1,41.5,90.216225,190.33667,0.16979782,0.062562176,0.28090831,0.003107393,0.34400001
2009-2,Chihuahua,272.69794,5715.209,2009q2,4,42.400002,81.838463,223.42334,0.22409156,0.22074877,2.6921004,0.025581563,0.053000003
2009-2,Ciudad de México,2266.1646,581.53003,2009q2,39,42.599998,87.738602,318.29999,0.37889001,0.041169151,2.6295818,0.02309489,0.078000002
2009-2,Coahuila,93.211632,2701.3,2009q2,5,41.099998,74.581573,218.52333,0.23085758,0.0514774,1.7213897,0.007666847,0.109
2009-2,Colima,16.296295,16.216999,2009q2,1,41.400002,82.439865,203.49667,0.24216156,0.040418363,1.0664229,0,0.1
2009-2,Durango,39.665062,205.028,2009q2,0,42.799999,84.252205,176.86,0.20358035,0.20455211,1.0707119,0.010925632,0.10600001
2009-2,Estado de México,424.71933,1693.939,2009q2,23,44.599998,82.32756,238.93333,0.24105442,0.044693941,1.7679301,0,0.093000002
2009-2,Guanajuato,61.953705,1097.594,2009q2,14,41.799999,79.077538,197.75667,0.15995035,0.052405343,1.504652,0.013647224,0.14300001
2009-2,Guerrero,68.097313,112.402,2009q2,0,43.700001,88.534775,203.42667,0.20252037,0.14306382,0.56932366,0.003811126,0.155
2009-2,Hidalgo,33.05415,303.45401,2009q2,1,40.099998,84.100716,202.26666,0.16865925,0.038958809,1.0276805,0.010590744,0.20899999
2009-2,Jalisco,410.02698,3795.6819,2009q2,46,39.700001,83.023262,229.88666,0.219844,0.044413944,0.76911284,0.023231909,0.088
2009-2,Michoacán,56.072365,154.45,2009q2,7,38.700001,89.232857,202.16333,0.15608391,0.12637141,1.0690152,0.02445161,0.14899999
2009-2,Morelos,43.680977,332.12201,2009q2,2,42.299999,84.55603,231.76334,0.238555,0.14973473,2.8286353,0.082748142,0.12
2009-2,Nayarit,32.862408,20.148001,2009q2,1,39.700001,89.517982,186.86333,0.24428764,0.089766028,0.42569454,0,0.142
2009-2,Nuevo León,211.42824,4031.2639,2009q2,16,42.299999,82.417664,268.33667,0.21825422,0.036019333,1.793849,0.003019585,0.068999998
2009-2,Oaxaca,104.50529,242.541,2009q2,14,42,89.994019,194.48666,0.15175714,0.085023697,0.87449222,0.036252437,0.23999999
2009-2,Puebla,114.12796,1547.403,2009q2,11,41.099998,81.882439,214.13667,0.18305179,0.042505399,0.98125276,0,0.21799999
2009-2,Querétaro,624.85944,799.89502,2009q2,9,42.299999,82.998421,267.61667,0.23439448,0.040304658,1.1428855,0.005521186,0.088999994
2009-2,Quintana Roo,105.23005,7.4000001,2009q2,0,43.5,78.254524,193.20999,0.27612886,0.10381996,2.7185448,0.019994955,0.093999997
2009-2,San Luis Potosí,-28.364384,808.41998,2009q2,2,40.599998,82.463402,218.34,0.18438977,0.06499108,1.4487596,0.02514536,0.19499999
2009-2,Sinaloa,64.759331,53.700001,2009q2,6,40.599998,89.730339,180.63666,0.25664595,0.16046458,0.95497724,0.007810223,0.081999995
2009-2,Sonora,68.439064,2372.4609,2009q2,5,41.799999,83.79071,198.15334,0.26183474,0.094252297,0.92644017,0.001122051,0.068000004
2009-2,Tabasco,49.897167,1665.1379,2009q2,0,43,86.550514,211.28,0.2532135,0.046265272,1.529449,0.034586657,0.148
2009-2,Tamaulipas,166.56734,4417.8672,2009q2,1,41,90.117004,220.89999,0.26055273,0.069727444,1.6713274,0.01278844,0.12100001
2009-2,Tlaxcala,0.450872,156.286,2009q2,1,39.099998,100.08614,202.67667,0.21393463,0.073725831,0.36948643,0,0.20999999
2009-2,Veracruz,184.51338,1019.049,2009q2,6,44.900002,87.790047,230.12,0.20216081,0.043080629,0.45411434,0.010475533,0.161
2009-2,Yucatán,43.024509,239.541,2009q2,2,40.099998,87.555374,189.59666,0.19414365,0.026149341,0.94086351,0,0.20100001
